,track_uri,track_name,mood,artist_uri,artist_name,genre,popularity,followers,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
spotify:track:6CgsttSWDA2sISZQp1upXK,spotify:track:6CgsttSWDA2sISZQp1upXK,I Don't Wanna Lie,happy,spotify:artist:2gqMBdyddvN82dzZt4ZF14,Yola,indie folk,54,56724,0.562,0.821,5,-5.082,1,0.0277,0.3,0.0,0.519,0.893,105.512,4
spotify:track:3ue9zcwNcoYvFqKVjG0C6r,spotify:track:3ue9zcwNcoYvFqKVjG0C6r,You And Me,happy,spotify:artist:76sXjAhV0Hc3Pdb6bH3waC,Penny & The Quarters,traditional soul,41,11355,0.562,0.178,0,-7.811,1,0.0343,0.945,6.66e-06,0.121,0.25,109.589,4
spotify:track:5HrxlXl6yE5PWxFkNyUOz7,spotify:track:5HrxlXl6yE5PWxFkNyUOz7,Bra,happy,spotify:artist:4hfcSstwnyuBoek1dQwLkG,Cymande,afrobeat,54,121100,0.677,0.769,7,-10.142,1,0.0535,0.00545,0.0252,0.131,0.891,117.731,4
spotify:track:6hfKln1Jm1WCN6ozSQZGyN,spotify:track:6hfKln1Jm1WCN6ozSQZGyN,You Are My Heart,happy,spotify:artist:5KSFuLEiUvKeFg1tssgfuV,Rex Williams,classic afrobeat,33,431,0.664,0.681,7,-7.458,1,0.0366,0.481,0.0232,0.225,0.604,97.501,4
spotify:track:3JbqwFY5q0ORO3siv5zL3A,spotify:track:3JbqwFY5q0ORO3siv5zL3A,Smooth Sailin',happy,spotify:artist:3qnGvpP8Yth1AqSBMqON5x,Leon Bridges,modern blues,76,1127260,0.641,0.721,11,-6.788,0,0.0451,0.413,7.15e-06,0.246,0.753,67.055,4
spotify:track:2BydLQAh7CUIFvSEqAMc4x,spotify:track:2BydLQAh7CUIFvSEqAMc4x,If You Want Me to Stay,happy,spotify:artist:5m8H6zSadhu1j9Yi04VLqD,Sly & The Family Stone,classic rock,62,637348,0.843,0.48,11,-11.574,0,0.0492,0.28,0.000782,0.108,0.762,101.993,4
spotify:track:0MIq5zqSNk6XH4BoinuakO,spotify:track:0MIq5zqSNk6XH4BoinuakO,Regenerate,happy,spotify:artist:2bToe6WyGvADJftreuXh2K,Lee Fields & The Expressions,afrobeat,55,115358,0.765,0.497,1,-6.851,0,0.0483,0.766,0.149,0.122,0.509,86.182,4
spotify:track:7b8s4Z0abQQ4x4jpct4GjR,spotify:track:7b8s4Z0abQQ4x4jpct4GjR,Cissy Strut,happy,spotify:artist:2JRvXPGWiINrnJljNJhG5s,The Meters,afrobeat,56,178194,0.521,0.799,0,-11.993,1,0.097,0.106,0.732,0.332,0.709,175.921,4
spotify:track:4F68WqrshWc5aWyJGCumd2,spotify:track:4F68WqrshWc5aWyJGCumd2,Blessed with the Best,happy,spotify:artist:2bToe6WyGvADJftreuXh2K,Lee Fields & The Expressions,afrobeat,55,115358,0.591,0.653,1,-4.708,1,0.0499,0.303,0.000741,0.0709,0.904,161.726,4
spotify:track:7gyDV6Y7GmHqQS4KnzI5Zk,spotify:track:7gyDV6Y7GmHqQS4KnzI5Zk,Are You Ready to Love Me?,happy,spotify:artist:6HhV0jtMMK5HYnYgG0xgtz,The War and Treaty,funk,48,36804,0.533,0.776,8,-7.092,1,0.0847,0.151,8.65e-05,0.13,0.697,90.061,4
spotify:track:3XcuLPQb1LG13ZJEEa6wUI,spotify:track:3XcuLPQb1LG13ZJEEa6wUI,Build Me Up Buttercup,happy,spotify:artist:4GITZM5LCR2KcdlgEOrNLD,The Foundations,brill building pop,61,59184,0.657,0.423,0,-10.465,1,0.0308,0.361,0.0,0.31,0.842,133.612,4
spotify:track:2G2YzndIA6jeWFPBXhUjh5,spotify:track:2G2YzndIA6jeWFPBXhUjh5,Be My Baby,happy,spotify:artist:7CyeXFnOrfC1N6z4naIpgo,The Ronettes,adult standards,77,158216,0.511,0.769,4,-7.032,1,0.042,0.181,0.0,0.0921,0.818,129.657,4
spotify:track:3zYQ1KXzqBWRsxIqdVMoYF,spotify:track:3zYQ1KXzqBWRsxIqdVMoYF,Need Your Love,happy,spotify:artist:0CUpzKPDfIVzYqMn47jiV3,Curtis Harding,funk,52,124940,0.713,0.8,7,-5.938,0,0.0349,0.0491,7.96e-05,0.0921,0.814,139.942,4
spotify:track:5joZkgTCteYR5SWvSesUSQ,spotify:track:5joZkgTCteYR5SWvSesUSQ,Black Heart (feat. The Dap-Kings),happy,spotify:artist:6f3R3mqKR3kHp1KBNMUn80,Stealth,na,48,16479,0.852,0.76,1,-4.026,1,0.0849,0.0539,3.08e-05,0.151,0.584,121.672,4
spotify:track:2QW3aWIzjEDdHFPZFvOlXX,spotify:track:2QW3aWIzjEDdHFPZFvOlXX,You Send Me - Remastered,happy,spotify:artist:6hnWRPzGGKiapVX1UCdEAC,Sam Cooke,adult standards,70,1105070,0.565,0.286,4,-10.871,0,0.0289,0.883,0.0,0.178,0.487,95.964,4
spotify:track:62r1CS9zL1FL5Ilb7hLX7n,spotify:track:62r1CS9zL1FL5Ilb7hLX7n,Take Me to the River,happy,spotify:artist:3dkbV4qihUeMsqN4vBGg93,Al Green,classic soul,68,1373771,0.786,0.418,9,-11.115,1,0.0432,0.218,0.000158,0.134,0.94,119.101,4
spotify:track:4RQgqR09VmHn345vRhKQ6T,spotify:track:4RQgqR09VmHn345vRhKQ6T,Sir Duke,happy,spotify:artist:7guDJrEfX3qb6FEbdPA5qi,Stevie Wonder,adult standards,80,4659022,0.576,0.579,6,-9.628,1,0.0769,0.16,0.0,0.0777,0.947,106.978,4
spotify:track:44kT6XsCkSGb9wNQ5qGXvg,spotify:track:44kT6XsCkSGb9wNQ5qGXvg,Comencemos (Let's Start),happy,spotify:artist:4fN32efNcPfJXVJ151noby,Jungle Fire,afrobeat,36,10292,0.666,0.903,0,-6.462,1,0.0456,0.23,0.616,0.151,0.913,111.84,4
spotify:track:4k6WZXbHUFEZR02X9FhOuT,spotify:track:4k6WZXbHUFEZR02X9FhOuT,Sure Don't Miss You,happy,spotify:artist:2qFOYqFxPaIwEnffVhJhEn,The Dip,deep new americana,55,68776,0.664,0.586,4,-7.985,0,0.0283,0.334,2.96e-06,0.16,0.727,102.991,4
spotify:track:5CMw1IWB7JOpUY9nk54n1K,spotify:track:5CMw1IWB7JOpUY9nk54n1K,It's Only A Paper Moon,happy,spotify:artist:5V0MlUE1Bft0mbLlND7FJz,Ella Fitzgerald,adult standards,78,1806875,0.732,0.138,10,-14.28,1,0.0431,0.958,0.0,0.107,0.634,118.44,4
spotify:track:0AECVMjxepWdsjDb49JFRd,spotify:track:0AECVMjxepWdsjDb49JFRd,Tell Me Something Good,happy,spotify:artist:3MCjwjfIor5FkK3h639qkW,Rufus,classic soul,52,127869,0.724,0.404,1,-9.186,1,0.231,0.657,0.0,0.116,0.794,73.983,4
spotify:track:2WVz9Mtp3E8HCblGiu3nCv,spotify:track:2WVz9Mtp3E8HCblGiu3nCv,Use Me,happy,spotify:artist:1ThoqLcyIYvZn7iWbj8fsj,Bill Withers,funk,75,1019012,0.747,0.638,11,-12.028,0,0.0537,0.0474,0.00138,0.0751,0.961,154.708,4
spotify:track:6IpxLzChgCbFSJwso2Q84D,spotify:track:6IpxLzChgCbFSJwso2Q84D,Time Is On My Side,happy,spotify:artist:01Z8Z9K54zewyP04ZfGLSv,Irma Thomas,brill building pop,52,60427,0.518,0.622,0,-8.805,1,0.0349,0.619,0.00992,0.513,0.601,95.958,4
spotify:track:4oP1iFJ5GSxeMMHofCg4ae,spotify:track:4oP1iFJ5GSxeMMHofCg4ae,Love Again,happy,spotify:artist:31rVRoX5ZG9ZyRbHvlEwjA,RuthAnne,uk contemporary r&b,51,10498,0.58,0.424,8,-6.366,1,0.0714,0.624,0.0,0.103,0.478,92.291,4
spotify:track:10vkYRKw6Jjr7try1ir50G,spotify:track:10vkYRKw6Jjr7try1ir50G,Tired of Being Alone,happy,spotify:artist:3dkbV4qihUeMsqN4vBGg93,Al Green,classic soul,68,1373771,0.772,0.397,7,-8.585,1,0.0391,0.339,0.00541,0.0753,0.617,97.964,4
spotify:track:35w6fQ0Wnuv7aIryRx7gTq,spotify:track:35w6fQ0Wnuv7aIryRx7gTq,B-A-B-Y,happy,spotify:artist:1QAGLCom3FHTTiuRFsjzOj,Carla Thomas,classic soul,52,44488,0.74,0.301,8,-11.975,1,0.0467,0.428,0.0,0.0782,0.669,113.61,4
spotify:track:0ZZbKNLGRNHs93FhNebPFH,spotify:track:0ZZbKNLGRNHs93FhNebPFH,Soul Connection,happy,spotify:artist:2BNkflUlJ7uUr06ltR93mU,Diplomats of Solid Sound,bboy,40,11685,0.654,0.627,2,-6.137,1,0.0298,0.104,3.18e-05,0.143,0.817,109.057,4
spotify:track:5usNPz6U1acDrkUYekGYDY,spotify:track:5usNPz6U1acDrkUYekGYDY,Then He Kissed Me,happy,spotify:artist:7rewR1TVjhisjI6gauUamf,The Crystals,adult standards,58,76219,0.44,0.682,4,-7.416,1,0.0373,0.681,3.33e-05,0.207,0.626,135.917,4
spotify:track:3AW8RH8wosGLxd6ZojTGBe,spotify:track:3AW8RH8wosGLxd6ZojTGBe,Hard to Handle,happy,spotify:artist:60df5JBRRPcnSpsIMxxwQm,Otis Redding,classic soul,74,1653904,0.666,0.55,10,-8.672,1,0.0612,0.573,1.84e-06,0.122,0.961,95.552,4
spotify:track:3jrPIWpTMWlh4qIiDAhfPS,spotify:track:3jrPIWpTMWlh4qIiDAhfPS,In Love (Don't Mess Things Up),happy,spotify:artist:1plioVQ0mcgAO7uhvWkJJy,Lady Wray,funk,52,35325,0.758,0.364,9,-7.491,0,0.0549,0.623,5.87e-06,0.138,0.533,95.619,4
spotify:track:7lL2lMWNtzOcf5HnEudNgn,spotify:track:7lL2lMWNtzOcf5HnEudNgn,Everyday People,happy,spotify:artist:5m8H6zSadhu1j9Yi04VLqD,Sly & The Family Stone,classic rock,62,637348,0.813,0.619,7,-8.203,1,0.0294,0.245,0.0151,0.113,0.774,114.58,4
spotify:track:6bo1ykqKEAYsdwVtR1ze8x,spotify:track:6bo1ykqKEAYsdwVtR1ze8x,Pelvis Pusher,happy,spotify:artist:72Pauuctba5lMzC89R0Vk0,Vintage Trouble,funk,45,105831,0.544,0.842,0,-4.634,1,0.115,0.0528,0.0,0.0946,0.714,169.406,4
spotify:track:3VgrSJEKBRT3xmwzpaxxEF,spotify:track:3VgrSJEKBRT3xmwzpaxxEF,(Love Is Like A) Heat Wave,happy,spotify:artist:1Pe5hlKMCTULjosqZ6KanP,Martha Reeves & The Vandellas,brill building pop,59,292664,0.514,0.624,0,-9.287,0,0.0842,0.513,0.00517,0.307,0.755,166.726,4
spotify:track:4TBBPZks71c60whhq0PgdP,spotify:track:4TBBPZks71c60whhq0PgdP,(Your Love Keeps Lifting Me) Higher & Higher,happy,spotify:artist:4VnomLtKTm9Ahe1tZfmZju,Jackie Wilson,adult standards,61,294387,0.631,0.69,2,-6.676,1,0.0531,0.176,0.0,0.121,0.938,94.574,4
spotify:track:6cpNEgirhi0QmLDA2cVSHO,spotify:track:6cpNEgirhi0QmLDA2cVSHO,It's A Shame,happy,spotify:artist:5fbhwqYYh4YwUoEs582mq5,The Spinners,classic soul,62,525037,0.411,0.788,8,-10.197,0,0.109,0.0952,0.0,0.175,0.612,198.435,4
spotify:track:0OwvrdjaJOypNsNQHyBWE5,spotify:track:0OwvrdjaJOypNsNQHyBWE5,California Soul,happy,spotify:artist:0hirZ8kPPdM9pzXpoagB4w,Marlena Shaw,funk,53,46740,0.513,0.826,8,-8.407,0,0.0574,0.555,3.48e-05,0.366,0.539,94.582,4
spotify:track:6iNHWlOLt4NuDi9iSvtznO,spotify:track:6iNHWlOLt4NuDi9iSvtznO,Ladies,happy,spotify:artist:2bToe6WyGvADJftreuXh2K,Lee Fields & The Expressions,afrobeat,55,115358,0.48,0.751,1,-5.702,0,0.0383,0.188,1.69e-05,0.163,0.789,177.371,4
spotify:track:0gtTfaz5zzbJA28Ypu7k0W,spotify:track:0gtTfaz5zzbJA28Ypu7k0W,Groove Me,happy,spotify:artist:03PCdNvkF81s7xHmtkNcoz,King Floyd,classic soul,45,9686,0.913,0.481,11,-8.459,1,0.0998,0.392,7.48e-05,0.0279,0.878,103.62,4
spotify:track:2Bls0igCm79XQQ95IoUbhq,spotify:track:2Bls0igCm79XQQ95IoUbhq,Mr. Big Stuff,happy,spotify:artist:2Tk0pWxTuQgnE5nsUexrLr,Jean Knight,soul,50,14234,0.886,0.491,8,-12.589,1,0.171,0.29,2.46e-06,0.229,0.971,93.236,4
spotify:track:00kvKlIvfzQLSi6T2zwXuS,spotify:track:00kvKlIvfzQLSi6T2zwXuS,Strawberry Letter 23,happy,spotify:artist:6h3rSZ8VLK7a5vXjEmhfuD,The Brothers Johnson,classic soul,54,246508,0.73,0.622,7,-11.7,0,0.0532,0.269,0.00874,0.111,0.752,90.973,4
spotify:track:5fNDP3NTdE69szQHUl4fFr,spotify:track:5fNDP3NTdE69szQHUl4fFr,Please Mr. Postman - Stereo Version,happy,spotify:artist:0MponVSpW81oLvJZ53vYZH,The Marvelettes,brill building pop,54,225947,0.781,0.837,2,-5.245,1,0.0325,0.711,6.69e-06,0.0565,0.961,120.586,4
spotify:track:2DunIaFgxhhLktcs07CxAM,spotify:track:2DunIaFgxhhLktcs07CxAM,I Just Dropped In To See What Condition My Condition Is In,happy,spotify:artist:6LufpoVlIYKQCu9Gjpk8B7,Sharon Jones & The Dap-Kings,afrobeat,60,210170,0.641,0.763,10,-6.461,0,0.0474,0.227,0.000394,0.0831,0.86,133.256,4
spotify:track:2vLaES21zwbX1Rnmj56Bbb,spotify:track:2vLaES21zwbX1Rnmj56Bbb,I'll Be Around,happy,spotify:artist:5fbhwqYYh4YwUoEs582mq5,The Spinners,classic soul,62,525037,0.593,0.791,8,-8.698,0,0.068,0.175,0.0,0.0976,0.63,112.295,4
spotify:track:5rrXkymfQdhNBgBZ3BUVbB,spotify:track:5rrXkymfQdhNBgBZ3BUVbB,Mama Said - Rerecorded Version,happy,spotify:artist:0x83OBqixqdCHnStP5VMcn,The Shirelles,adult standards,54,188105,0.762,0.528,8,-6.789,0,0.0335,0.0573,0.0,0.281,0.933,140.403,4
spotify:track:1jogl9f7HlgoN817JlwqgY,spotify:track:1jogl9f7HlgoN817JlwqgY,Got To Give It Up (Part 1),happy,spotify:artist:3koiLjNrgRTNbOwViDipeA,Marvin Gaye,classic soul,76,3732126,0.867,0.915,2,-6.593,1,0.0487,0.0687,0.00135,0.347,0.848,122.678,4
spotify:track:36AlMHDBFwSsD3FQOy1R81,spotify:track:36AlMHDBFwSsD3FQOy1R81,Try a Little Tenderness,happy,spotify:artist:60df5JBRRPcnSpsIMxxwQm,Otis Redding,classic soul,74,1653904,0.587,0.133,9,-15.151,0,0.0565,0.186,2.26e-05,0.258,0.068,102.938,4
spotify:track:7FS541dJh3iQAEXEZoDhE6,spotify:track:7FS541dJh3iQAEXEZoDhE6,Twistin' the Night Away,happy,spotify:artist:6hnWRPzGGKiapVX1UCdEAC,Sam Cooke,adult standards,70,1105070,0.458,0.801,9,-7.83,1,0.0565,0.691,0.0,0.328,0.93,160.547,4
spotify:track:6DNgKv1sWH2505Z5SAqAXr,spotify:track:6DNgKv1sWH2505Z5SAqAXr,Get out of My Life Woman,happy,spotify:artist:0En4EEcDMJ5kaUCf1aZ9js,Lee Dorsey,classic soul,48,31231,0.841,0.4,6,-10.703,1,0.0334,0.294,0.000367,0.0335,0.855,89.594,3
spotify:track:4ZKGarvWsSOruOaw40cFNz,spotify:track:4ZKGarvWsSOruOaw40cFNz,Love That Girl,happy,spotify:artist:6g0Wah2YFtb1rFgKhUktlo,Raphael Saadiq,funk,57,408722,0.71,0.674,1,-5.393,1,0.0352,0.0136,1.73e-05,0.0366,0.7,124.033,4
spotify:track:4pW3aTX3kAmOaPJfc9UM12,spotify:track:4pW3aTX3kAmOaPJfc9UM12,Express Yourself,happy,spotify:artist:2t0kaaDtGZtmpczIAMaVTQ,Charles Wright & The Watts 103rd Street Rhythm Band,funk,48,21846,0.789,0.683,8,-8.835,1,0.086,0.48,0.0,0.35,0.882,92.311,4
spotify:track:7t7VTdIZS01AfR2w2SHb17,spotify:track:7t7VTdIZS01AfR2w2SHb17,Good To You,happy,spotify:artist:3UtTKOuKlWMQPSCyIvCDl6,Jonny P,retro soul,38,6255,0.789,0.38,1,-10.662,1,0.0362,0.358,0.0207,0.0928,0.702,92.028,4
spotify:track:3axZhjWYerBhaovH5MlkTZ,spotify:track:3axZhjWYerBhaovH5MlkTZ,Make Me Yours,happy,spotify:artist:0g3EsNvUCwgpsdkAiIC50W,Bettye Swann,classic soul,46,28617,0.711,0.492,3,-8.119,1,0.0325,0.454,1.45e-05,0.126,0.868,107.917,4
spotify:track:6SMHgPgNkhe9lneNTbgtel,spotify:track:6SMHgPgNkhe9lneNTbgtel,Love and Happiness,happy,spotify:artist:3dkbV4qihUeMsqN4vBGg93,Al Green,classic soul,68,1373771,0.822,0.457,6,-10.937,1,0.235,0.214,0.000397,0.0766,0.73,99.16,4
spotify:track:4dUOAFN1Yk2TuslROwZcdX,spotify:track:4dUOAFN1Yk2TuslROwZcdX,Give It Up,happy,spotify:artist:0En4EEcDMJ5kaUCf1aZ9js,Lee Dorsey,classic soul,48,31231,0.463,0.562,0,-8.932,0,0.078,0.132,1.82e-05,0.111,0.787,164.391,4
spotify:track:7zrPswSV1yxrill5OyCuaU,spotify:track:7zrPswSV1yxrill5OyCuaU,Pusherman,happy,spotify:artist:2AV6XDIs32ofIJhkkDevjm,Curtis Mayfield,chicago soul,63,754371,0.851,0.669,10,-9.562,1,0.0379,0.239,0.0852,0.108,0.911,126.624,4
spotify:track:6ZnHrF3PTc3JEVz4tlKAJh,spotify:track:6ZnHrF3PTc3JEVz4tlKAJh,Rock Steady,happy,spotify:artist:7nwUJBm0HE4ZxD3f5cy5ok,Aretha Franklin,classic soul,74,2419752,0.734,0.811,7,-9.083,1,0.125,0.0332,0.0539,0.238,0.926,104.414,4
spotify:track:4oq10QlUc3rvww1huvtA2j,spotify:track:4oq10QlUc3rvww1huvtA2j,"Mercy, Mercy",happy,spotify:artist:3SC1GczHVpsiorx1KFaa4S,Don Covay,classic soul,35,12711,0.896,0.374,9,-16.832,1,0.0746,0.23,0.000168,0.152,0.834,118.203,4
spotify:track:74iQ3gahRTOGc19bYadBE3,spotify:track:74iQ3gahRTOGc19bYadBE3,Thank You (Falettinme Be Mice Elf Agin) - Single Version,happy,spotify:artist:5m8H6zSadhu1j9Yi04VLqD,Sly & The Family Stone,classic rock,62,637348,0.9,0.709,9,-12.683,1,0.0636,0.296,0.00047,0.0863,0.897,105.822,4
spotify:track:2jg4Yc8071puvDRYi22B3a,spotify:track:2jg4Yc8071puvDRYi22B3a,"Signed, Sealed, Delivered (I'm Yours)",happy,spotify:artist:7guDJrEfX3qb6FEbdPA5qi,Stevie Wonder,adult standards,80,4659022,0.646,0.784,5,-6.137,1,0.0334,0.00495,0.0,0.061,0.819,108.84,4
spotify:track:6PgVDY8GTkxF3GmhVGPzoB,spotify:track:6PgVDY8GTkxF3GmhVGPzoB,"Hold On, I'm Comin'",happy,spotify:artist:2BVYdY4PyfCF9z4NrkhEB2,Sam & Dave,brill building pop,59,222037,0.803,0.338,6,-14.029,1,0.0349,0.196,0.038,0.097,0.912,106.841,4
spotify:track:16ZNz0wXDJERo4zquNPw7x,spotify:track:16ZNz0wXDJERo4zquNPw7x,How Sweet It Is (To Be Loved By You),happy,spotify:artist:1rHh0AI30JhKrbzKIFjFNd,Jr. Walker & The All Stars,brill building pop,52,137449,0.575,0.731,1,-7.876,1,0.168,0.0114,3.97e-06,0.351,0.694,125.44,4
spotify:track:6vcG9EgeqJUSmmF65lxUm6,spotify:track:6vcG9EgeqJUSmmF65lxUm6,One Fine Day,happy,spotify:artist:05sIdEkXAYDbDDdv3T56Oj,The Chiffons,adult standards,48,73088,0.251,0.868,1,-2.685,1,0.128,0.488,7.34e-06,0.814,0.599,177.13,4
spotify:track:5mY4K0OJsYr3qq0mSkUtiO,spotify:track:5mY4K0OJsYr3qq0mSkUtiO,Love Rollercoaster,happy,spotify:artist:6m30rs1IQqnWqV5nKMpU7U,Ohio Players,classic soul,51,423758,0.612,0.817,0,-10.13,1,0.0741,0.196,0.0,0.055,0.467,115.132,4
spotify:track:6ztKXHQLwNSvoMNdV1ntE2,spotify:track:6ztKXHQLwNSvoMNdV1ntE2,Playboy - Single Version,happy,spotify:artist:0MponVSpW81oLvJZ53vYZH,The Marvelettes,brill building pop,54,225947,0.865,0.678,0,-5.589,1,0.058,0.355,0.0,0.0627,0.913,123.759,4
spotify:track:0WVTQp3SOCuMr08jh1jweV,spotify:track:0WVTQp3SOCuMr08jh1jweV,Bring It On Home to Me,happy,spotify:artist:6hnWRPzGGKiapVX1UCdEAC,Sam Cooke,adult standards,70,1105070,0.523,0.402,0,-8.233,1,0.0305,0.778,0.0,0.432,0.675,70.863,4
spotify:track:6AEaiHXFPOncWxkoKmb5dB,spotify:track:6AEaiHXFPOncWxkoKmb5dB,Uptight (Everything's Alright),happy,spotify:artist:7guDJrEfX3qb6FEbdPA5qi,Stevie Wonder,adult standards,80,4659022,0.589,0.721,5,-5.8,0,0.0287,0.0838,0.0,0.127,0.843,134.208,4
spotify:track:4U2b99X9hSSDjPbHCpIeJj,spotify:track:4U2b99X9hSSDjPbHCpIeJj,Ain't That A Shame? - Remastered 2002,happy,spotify:artist:09C0xjtosNAIXP36wTnWxd,Fats Domino,adult standards,58,328712,0.54,0.389,4,-7.212,1,0.0345,0.757,1.22e-05,0.0836,0.954,121.288,4
spotify:track:5QXAMj4GVRUPOQVUNJjLJl,spotify:track:5QXAMj4GVRUPOQVUNJjLJl,Come See About Me,happy,spotify:artist:57bUPid8xztkieZfS7OlEV,The Supremes,adult standards,67,1160756,0.739,0.626,7,-7.666,1,0.0389,0.658,0.0,0.14,0.812,126.388,4
spotify:track:5YLnfy7R2kueN0BRPkjiEG,spotify:track:5YLnfy7R2kueN0BRPkjiEG,I'll Take You There,happy,spotify:artist:7xGGqA85UIWX1GoTVM4itC,The Staple Singers,chicago soul,58,208785,0.846,0.595,0,-8.372,1,0.0439,0.0904,1.96e-06,0.063,0.78,101.632,4
spotify:track:28285KFbyCq8sJofn58qlD,spotify:track:28285KFbyCq8sJofn58qlD,Love Train,happy,spotify:artist:38h03gA85YYPeDPd9ER9rT,The O'Jays,classic soul,61,727328,0.744,0.568,0,-9.629,1,0.0494,0.186,1.18e-05,0.163,0.687,122.657,4
spotify:track:1pVFchEqnrpIEtuGrB4srT,spotify:track:1pVFchEqnrpIEtuGrB4srT,"Mixed-Up, Shook-Up Girl",happy,spotify:artist:3YNciz35JttEP3tpD392Up,Patty & The Emblems,philly soul,27,556,0.597,0.47,5,-10.207,1,0.033,0.248,0.0,0.127,0.615,128.8,4
spotify:track:4kP69y3GKHi9tXckfgp4bK,spotify:track:4kP69y3GKHi9tXckfgp4bK,For Once In My Life,happy,spotify:artist:7guDJrEfX3qb6FEbdPA5qi,Stevie Wonder,adult standards,80,4659022,0.524,0.519,6,-11.903,1,0.043,0.195,0.0,0.523,0.847,110.121,4
spotify:track:6fuvYxKEvU4inG8eTB2nYi,spotify:track:6fuvYxKEvU4inG8eTB2nYi,"I Can't Help Myself (Sugar Pie, Honey Bunch)",happy,spotify:artist:7fIvjotigTGWqjIz6EP1i4,Four Tops,adult standards,65,708727,0.692,0.633,0,-7.733,1,0.0291,0.197,0.0,0.0929,0.965,126.812,4
spotify:track:01gDLZsi0j5fWC28FLPNO8,spotify:track:01gDLZsi0j5fWC28FLPNO8,Move on Up - Extended Version,happy,spotify:artist:2AV6XDIs32ofIJhkkDevjm,Curtis Mayfield,chicago soul,63,754371,0.584,0.975,11,-6.534,0,0.0651,0.141,0.501,0.101,0.876,138.341,4
